2026-03-11 12:50:54,684 | INFO | ============================================================
2026-03-11 12:51:03,292 | WARNING | WEBCAM_ON detected at 2026-03-11 12:51:03.292475
2026-03-11 12:51:19,494 | INFO | WEBCAM_OFF detected at 2026-03-11 12:51:19.494937
2026-03-11 12:51:19,494 | INFO | Auto-stopping: Webcam turned OFF after being ON
2026-03-11 12:51:19,494 | INFO | Webcam monitoring STOPPED
2026-03-11 12:53:11,360 | INFO | Observer registered: process_identification_callback
2026-03-11 12:53:11,360 | INFO | ============================================================
2026-03-11 12:53:11,360 | INFO | Webcam monitoring STARTED
2026-03-11 12:53:11,360 | INFO | ============================================================
2026-03-11 12:54:04,649 | WARNING | WEBCAM_ON detected at 2026-03-11 12:54:04.649913
2026-03-11 12:54:34,337 | INFO | WEBCAM_OFF detected at 2026-03-11 12:54:34.337211
2026-03-11 12:54:36,499 | INFO | Auto-stopping: Webcam turned OFF after being ON
2026-03-11 12:54:36,499 | INFO | Webcam monitoring STOPPED
